,Noise Level,Classifier,Fold,True Label,Predicted Label,Accuracy
0,0.0,Random Forest,1,0,0,0.9473684210526315
1,0.0,Random Forest,1,0,0,0.9473684210526315
2,0.0,Random Forest,1,0,0,0.9473684210526315
3,0.0,Random Forest,1,0,0,0.9473684210526315
4,0.0,Random Forest,1,1,1,0.9473684210526315
5,0.0,Random Forest,1,1,1,0.9473684210526315
6,0.0,Random Forest,1,1,1,0.9473684210526315
7,0.0,Random Forest,1,0,0,0.9473684210526315
8,0.0,Random Forest,1,0,1,0.9473684210526315
9,0.0,Random Forest,1,1,1,0.9473684210526315
10,0.0,Random Forest,1,1,1,0.9473684210526315
11,0.0,Random Forest,1,1,1,0.9473684210526315
12,0.0,Random Forest,1,1,1,0.9473684210526315
13,0.0,Random Forest,1,0,0,0.9473684210526315
14,0.0,Random Forest,1,1,1,0.9473684210526315
15,0.0,Random Forest,1,0,0,0.9473684210526315
16,0.0,Random Forest,1,1,1,0.9473684210526315
17,0.0,Random Forest,1,0,0,0.9473684210526315
18,0.0,Random Forest,1,1,1,0.9473684210526315
19,0.0,Random Forest,1,0,0,0.9473684210526315
20,0.0,Random Forest,1,0,0,0.9473684210526315
21,0.0,Random Forest,1,0,0,0.9473684210526315
22,0.0,Random Forest,1,1,1,0.9473684210526315
23,0.0,Random Forest,1,0,0,0.9473684210526315
24,0.0,Random Forest,1,1,1,0.9473684210526315
25,0.0,Random Forest,1,1,1,0.9473684210526315
26,0.0,Random Forest,1,0,0,0.9473684210526315
27,0.0,Random Forest,1,1,1,0.9473684210526315
28,0.0,Random Forest,1,1,1,0.9473684210526315
29,0.0,Random Forest,1,1,1,0.9473684210526315
30,0.0,Random Forest,1,1,1,0.9473684210526315
31,0.0,Random Forest,1,1,1,0.9473684210526315
32,0.0,Random Forest,1,0,0,0.9473684210526315
33,0.0,Random Forest,1,1,0,0.9473684210526315
34,0.0,Random Forest,1,0,0,0.9473684210526315
35,0.0,Random Forest,1,0,0,0.9473684210526315
36,0.0,Random Forest,1,1,1,0.9473684210526315
37,0.0,Random Forest,1,0,0,0.9473684210526315
